Category Name,Course Name,Course URL,First Instructor,Course Description,# of Students,# of Ratings
Personal Development,A Life of Happiness and Fulfillment,https://www.coursera.org/learn/happiness,NaN,None,"452,333","5,688"
Personal Development,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.coursera.org/learn/work-smarter-not-harder,NaN,None,"440,879","14,477"
Personal Development,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,NaN,None,"4,130,147","34,699"
Personal Development,De-Mystifying Mindfulness,https://www.coursera.org/learn/mindfulness,NaN,None,"207,011","1,476"
Personal Development,Positive Psychology ,https://www.coursera.org/learn/positive-psychology,NaN,"This course discusses research findings in the field of positive psychology, conducted by Barbara Fredrickson and her colleagues. It also features practical applications of this science that you can put to use immediately to help you live a full and meaningful life.","281,044","5,683"
Personal Development,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.coursera.org/learn/mindshift,Barbara Oakley,None,"410,834","12,098"
Personal Development,Storytelling and influencing: Communicate with impact,https://www.coursera.org/learn/communicate-with-impact,Associate Professor Lawrence Ang,"An ambitious vision for the future of your organisation isn’t enough – how do you communicate this vision to get your colleagues on board? The ability to effectively communicate and persuade others is a key leadership skill. Traditional and common-sense models of communication and persuasion often fail to capture the complex nature of ‘influencing’. Via structured learning activities (video lectures, quizzes, discussion prompts and written assessments) this course will develop your capacity to communicate appropriately in different situational and cultural contexts, making you a highly influential leader.","60,439","1,454"
Personal Development,Good with Words: Speaking and Presenting,https://www.coursera.org/specializations/good-with-words-speaking-and-presenting,NaN,"Suppose you were good with words. Suppose when you decided to speak, the message you delivered—and the way you delivered it—successfully connected with your intended audience. What would that mean for your career prospects? What would that mean for your comfort level in social situations? And perhaps most importantly, what would that mean for your satisfaction with the personal relationships you value the most? This specialization is designed to help you find out. Based on an award-winning course and workshop series at the University of Michigan that has been taken by students training to enter a wide range of fields—law, business, medicine, social work, public policy, design, engineering, and many more—it removes the guesswork from figuring out how to communicate clearly and compellingly.

All of us have ideas that are worth sharing. Why not learn to convey yours in a way that people will appreciate, enjoy, and remember?","4,937",75
Personal Development,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://www.coursera.org/learn/negotiation,NaN,None,"464,220","4,429"
Personal Development,Improve Your English Communication Skills,https://www.coursera.org/specializations/improve-english,Gerry Landers,"This Specialization helps you improve your professional communication in English for successful business interactions. Each course focuses on a particular area of communication in English: writing emails, speaking at meetings and interviews, giving presentations, and networking online. Whether you want to communicate to potential employers, employees, partners or clients, better English communication can help you achieve your language and professional goals. The Capstone course will focus especially on making those important connections to take your career or business to the next level. Make yourself more competitive by improving your English through this Specialization: Improve Your English Communication Skills.","547,958","14,878"
Personal Development,Communication Strategies for a Virtual Age,https://www.coursera.org/learn/communication-strategies-virtual-age,NaN,None,"169,706","4,065"
Personal Development, Storytelling in Branding and Content Marketing ,https://www.coursera.org/learn/brand-and-content-marketing,NaN,None,"21,979",228
Personal Development,Emotional and Social Intelligence,https://www.coursera.org/learn/emotional-and-social-intelligence,NaN,None,"25,327",731
Personal Development,Project Management & Other Tools for Career Development,https://www.coursera.org/specializations/project-management-success,"Margaret  Meloni,  MBA, PMP","Project management has been proven to be the most effective method of delivering products within cost, schedule, and resource constraints. It is an essential skill in the modern digital constantly changing world.

This intensive and hands-on series of courses gives you a blend of skills from project management. Successful projects require careful upfront planning. In this specialization, you will gain a strong working knowledge of the basics of project management. You’ll learn the key roles and responsibilities of the project manager and project team and to answer some key questions upfront to help you meet project objectives, as well as managing project risk.

Additionally, this specialization will train you in essential career success skills that have become indispensable, like business writing, negotiation and effective problem-solving. Thus, in addition to introducing you to project management, this specialization will help you build, develop and hone the essential skills needed to improve your employability and advancement in today’s dynamic workforce, giving you a complete, comprehensive skill set.","82,323","5,810"
Personal Development,Good with Words: Writing and Editing,https://www.coursera.org/specializations/good-with-words,NaN,"Perhaps the most important thing students and professionals of all kinds can do to improve their effectiveness is embrace the following advice: become good with words.

This series of courses targets the writing side of that recommendation. The skills it focuses on include everything from how to arrange a complex set of information in a reader-friendly way, to how to give and receive high-quality feedback, to how to consistently hit deadlines.

Part of Professor Barry’s proceeds from this course will be donated to the COVID-19 relief efforts of Ozone House, a shelter for homeless youth in Southeastern Michigan where he regularly conducts job-training workshops. These proceeds come from purchases of the version of the course that earns you a certificate. The course remains free for anyone who is simply auditing.","47,053","1,572"
Personal Development,Professional Skills for the Workplace,https://www.coursera.org/specializations/professional-skills-for-the-workplace,Laurie Cozart,"This Specialization is intended for working professionals early in their career and for organizations who look to improve interpersonal relationship skills among their employees, clients, and customers.

Through four courses, you will explore the use of emotional and social intelligence, practice a formula for problem solving, cultivate a growth mindset, and build skills related to adaptability and resilience in an ever-changing environment. These skills show up in business relationships and communication and ultimately impact professional effectiveness. You will be able to demonstrate sound judgment by engaging in critical thinking to reach decisions and solve problems independently. You will be able to develop a competitive advantage by learning, adapting, and harnessing insights from past endeavors. You will assess your own expectations in your current or anticipated work roles and settings, and how those may align with or differ from what is required by employers and other stakeholders now and in the future.","9,670",486
Personal Development,High-Impact Business Writing,https://www.coursera.org/learn/business-writing,NaN,None,"179,046","3,556"
Personal Development,Leadership and Influence,https://www.coursera.org/learn/leadership-influence,NaN,None,"9,400",46
Personal Development,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,NaN,None,"4,130,147","34,699"
Personal Development,Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn,Barbara Oakley,None,"3,351,014","84,779"
Personal Development,Successful Negotiation: Essential Strategies and Skills,https://www.coursera.org/learn/negotiation-skills,NaN,None,"1,293,030","17,469"
Personal Development,First Step Korean,https://www.coursera.org/learn/learn-korean,NaN,None,"1,277,424","45,566"
Personal Development,Career Success,https://www.coursera.org/specializations/career-success,"Rob Stone, PMP, M.Ed.","This series of courses will help you build, develop and hone the essential skills needed to improve your employability and advancement in today’s dynamic workforce. The courses in this Specialization may be taken in any order. Each course can also be taken independently. The Specialization concludes with a Capstone project that will give you the opportunity to integrate and apply the skills you have gained throughout the courses to your individual and organizational needs.","177,639","13,735"
Personal Development,Chinese for Beginners,https://www.coursera.org/learn/learn-chinese,NaN,"Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it is useful to know about the language when coming to China for travel or business. This is an ABC Chinese course for beginners, including introduction of phonetics and daily expressions. After taking this class, learners can have a basic understanding of Chinese Mandarin and make basic conversations of daily living such as exchanging personal information, talking about daily arrangements and food, asking about price, introducing the city and the weather, telling your hobbies etc. Selected topics and situations come from real life scenarios and can be used for everyday communications. In addition to the dialogues, the selection of reading materials and practice activities will make the content as rich and varied as possible, in order to stimulate the learners’ interests. This is an elementary course on Chinese speaking. The learners don’t need to study Chinese characters, so it is easier to follow and complete this course.","1,138,703","17,931"
Personal Development,Academic English: Writing,https://www.coursera.org/specializations/academic-english,Tamy Chapman,"The skills taught in this Specialization will empower you to succeed in any college-level course or professional field. You’ll learn to conduct rigorous academic research and to express your ideas clearly in an academic format. In the final Capstone Project, all the knowledge that you’ve gained over the span of these courses will culminate into an academic research paper on an issue of your choice.","182,618","11,480"
Personal Development,Grammar and Punctuation,https://www.coursera.org/learn/grammar-punctuation,Tamy Chapman,None,"665,260","18,470"
Personal Development,Social Psychology,https://www.coursera.org/learn/social-psychology,NaN,None,"546,993","4,469"
Personal Development,A Life of Happiness and Fulfillment,https://www.coursera.org/learn/happiness,NaN,None,"452,333","5,688"
Personal Development,Introduction to Mathematical Thinking,https://www.coursera.org/learn/mathematical-thinking,NaN,None,"414,562","2,451"
Personal Development,Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.coursera.org/learn/mindshift,Barbara Oakley,None,"410,834","12,098"
Personal Development,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,NaN,None,"4,130,147","34,699"
Personal Development,Career Success,https://www.coursera.org/specializations/career-success,"Rob Stone, PMP, M.Ed.","This series of courses will help you build, develop and hone the essential skills needed to improve your employability and advancement in today’s dynamic workforce. The courses in this Specialization may be taken in any order. Each course can also be taken independently. The Specialization concludes with a Capstone project that will give you the opportunity to integrate and apply the skills you have gained throughout the courses to your individual and organizational needs.","177,639","13,735"
Personal Development,Academic English: Writing,https://www.coursera.org/specializations/academic-english,Tamy Chapman,"The skills taught in this Specialization will empower you to succeed in any college-level course or professional field. You’ll learn to conduct rigorous academic research and to express your ideas clearly in an academic format. In the final Capstone Project, all the knowledge that you’ve gained over the span of these courses will culminate into an academic research paper on an issue of your choice.","182,618","11,480"
Personal Development,Arizona State University TESOL,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Emilia Gracia,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university.","43,067","4,665"
Personal Development,Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.coursera.org/learn/learning-how-to-learn,NaN,NaN,NaN,NaN
Personal Development,Successful Negotiation: Essential Strategies and Skills,https://www.coursera.org/learn/negotiation-skills,NaN,None,"1,293,030","17,469"
Personal Development,Photography Basics and Beyond: From Smartphone to DSLR,https://www.coursera.org/specializations/photography-basics,NaN,NaN,NaN,NaN
Personal Development,Achieving Personal and Professional Success,https://www.coursera.org/specializations/wharton-success,NaN,NaN,NaN,NaN
Personal Development,"Effective Communication: Writing, Design, and Presentation",https://www.coursera.org/specializations/effective-business-communication,NaN,NaN,NaN,NaN
Personal Development,Dynamic Public Speaking,https://www.coursera.org/specializations/public-speaking,NaN,NaN,NaN,NaN
Personal Development,Learn English: Intermediate Grammar,https://www.coursera.org/specializations/intermediate-grammar,NaN,NaN,NaN,NaN
Personal Development,Intuit Bookkeeping,https://www.coursera.org/professional-certificates/intuit-bookkeeping,NaN,NaN,NaN,NaN
Personal Development,Introduction to Personal Branding,https://www.coursera.org/learn/personal-branding,NaN,None,"264,940","8,395"
Personal Development,How to Write a Resume (Project-Centered Course),https://www.coursera.org/learn/how-to-write-a-resume,NaN,None,"204,066","3,669"
Personal Development,Personality Types at Work,https://www.coursera.org/learn/personality-types-at-work,NaN,NaN,NaN,NaN
Personal Development,Career Success,https://www.coursera.org/specializations/career-success,NaN,NaN,NaN,NaN
Personal Development,Career Self-Management Training and Certification,https://www.coursera.org/specializations/career-brand-management,Dr. Valeri Chukhlomin,"In the business world, smart organizations use branding and strategic management techniques to differentiate themselves from their competition and to achieve a competitive advantage. In this Specialization, you will learn how to use proven brand management methods and tools for individual career development in competitive job environments. You will gain knowledge and analytical skills for career self-management and learn techniques for career brand building. You will create a robust self-management information system that will help you self-organize and increase your human capital by building high demand employability skills. During each week of the Specialization, you will be practicing various career branding techniques in your custom-built, individual Career Development Lab. The final Capstone Project is designed as a training facility where you will create your evidence-based portfolios, professional development plans, personal self-marketing and branding strategies, presentations, and public profiles.","12,259",213
Personal Development,Interviewing and Resume Writing in English,https://www.coursera.org/specializations/english-interview-resume,Charles Duquette,"This specialization will help you develop the English language strategies and communication skills you need to advance in your professional career. Whether you already have a successful career and are looking to move forward, whether you’re looking to change careers, whether you’re starting out in the world of work, or whether you’re coming back into the world of work after some time away – if you believe in working for more than a paycheck, then this specialization will help you. The core courses cover preparing for a successful job search, including self research and research of the job market and industries of interest; strengthening your interview skills by recognizing what hiring managers are looking for and taking steps to prepare for the types of tough questions today's premier companies use; and preparing a resume, cover letter and supporting business documents. The capstone will allow you to apply the skills you learn in this specialization to your own job search.

A key benefit of this specialization is the opportunities you'll have to practice your interviewing skills with other job-seekers from around the world. You’ll give them feedback and they’ll give you feedback. In this process, you’ll gain new insight into what makes a speaker successful and you’ll gain confidence in your English interviewing skills.","28,959",252
Personal Development,Professional IQ: Preventing and Solving Problems at Work,https://www.coursera.org/specializations/professional-iq,NaN,NaN,NaN,NaN
Personal Development,Aprendizaje de las matemáticas de primaria,https://www.coursera.org/learn/aprendizaje-matematicas-primaria,Pedro Gómez,None,"12,466",313
Personal Development,Understanding Medical Research: Your Facebook Friend is Wrong,https://www.coursera.org/learn/medical-research,NaN,None,"73,852","1,658"
Personal Development,The Science of Well-Being,https://www.coursera.org/learn/the-science-of-well-being,NaN,None,"4,130,147","34,699"
Personal Development,Everyday Parenting: The ABCs of Child Rearing,https://www.coursera.org/learn/everyday-parenting,NaN,None,"179,309","2,545"
Personal Development,Formadores de Ciudadanía,https://www.coursera.org/learn/formadores-ciudadania,Ana María Velásquez,None,"14,438",435
Personal Development,Liderazgo para el Siglo XXI: proyecto final,https://www.coursera.org/learn/liderazgo,Héctor F. Hernández V.,None,"6,272",273
Personal Development,Aprendendo a aprender: ferramentas mentais poderosas para ajudá-lo a dominar assuntos difíceis (em Português) [Learning How to Learn],https://www.coursera.org/learn/aprender,NaN,NaN,NaN,NaN
Personal Development,Ensino Híbrido: Personalização e Tecnologia na Educação,https://www.coursera.org/learn/ensino-hibrido,Lilian Bacich,None,"24,085",618
Personal Development,Arizona State University TESOL,https://www.coursera.org/professional-certificates/arizona-state-university-tesol,Emilia Gracia,"This course is designed for anyone who wants to teach English anywhere in the world. If you want to become a teacher, polish your teaching skills, or add a credential to your resume, this is the course for you! Get certified by a nationally-ranked university.","43,067","4,665"
Personal Development,Writing in the Sciences,https://www.coursera.org/learn/sciwrite,NaN,"This course teaches scientists to become more effective writers, using practical examples and exercises. Topics include: principles of good writing, tricks for writing faster and with less anxiety, the format of a scientific manuscript, peer review, grant writing, ethical issues in scientific publication, and writing for general audiences.","369,608","7,145"
Personal Development,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),https://www.coursera.org/learn/aprendiendo-a-aprender,Barbara Oakley,None,"339,281","9,920"
Personal Development,Positive Psychology: Resilience Skills,https://www.coursera.org/learn/positive-psychology-resilience,NaN,"Learn how to incorporate resilience interventions into your personal and professional life with Dr. Karen Reivich. In this course, you are exposed to the foundational research in resilience, including protective factors such as mental agility and optimism. Several types of resilience interventions are explored including cognitive strategies; strategies to manage anxiety and increase positive emotions such as gratitude; and a critical relationship enhancement skill. Throughout the course, you will hear examples of individuals using resilience skills in their personal and professional lives.  Suggested prerequisites: Positive Psychology: Martin E. P. Seligman’s Visionary Science, Positive Psychology: Applications and Interventions and Positive Psychology: Character, Grit & Research Methods.","64,887","1,885"
Information Technology,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,NaN,NaN,NaN,"127,604"
Information Technology,"Foundations: Data, Data, Everywhere",https://www.coursera.org/learn/foundations-data,NaN,None,"1,300,766","65,743"
Information Technology,Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals,NaN,None,"1,281,114","127,604"
Information Technology,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,Rav Ahuja,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are Cloud Computing, Data Science, and Artificial Intelligence (AI).

Technology is essential for the future of business. Almost any organization that wants to modernize or get ahead, and anyone working there, needs to understand and leverage these essential technologies.

The courses in this Specialization provide foundational knowledge of Cloud, Data and AI, including business drivers behind their growth, the value they provide, their applications and use cases, and an understanding of how these technologies work. You will not only become familiar with the buzzwords associated with these technologies, but also experience them in action and develop hands-on skills to start working with them.

This Specialization is suitable for a variety of learners who are beginners with these technologies, including managers and executives, professionals who want to upskill, and students getting ready to start a career.

There is no special prior knowledge or hardware required. The only pre-requisites are basic computer literacy, device with a modern web browser with internet connectivity, and motivation to self-learn online.","13,224","1,166"
Information Technology,Google IT Automation with Python,https://www.coursera.org/professional-certificates/google-it-automation,NaN,"This beginner-level, six-course certificate, developed by Google, is designed to provide IT professionals with in-demand skills -- including Python, Git, and IT automation -- that can help you advance your career.

Knowing how to write code to solve problems and automate solutions is a crucial skill for anybody in IT. Python, in particular, is now the most in-demand programming language by employers.

This program builds on your IT foundations to help you take your career to the next level. It’s designed to teach you how to program with Python and how to use Python to automate common system administration tasks. You'll also learn to use Git and GitHub, troubleshoot and debug complex problems, and apply automation at scale by using configuration management and the Cloud.

This certificate can be completed in about 6 months and is designed to prepare you for a variety of roles in IT, like more advanced IT Support Specialist or Junior Systems Administrator positions. Upon completion, you can share your information with potential employers, like Walmart, Sprint, Hulu, Bank of America, Google (of course!), and more.

We recommend that you have Python installed on your machine. For some courses, you’ll need a computer where you can install Git or ask your administrator to install it for you.

If you’d like to learn the fundamentals of IT support, check out the beginner level Google IT Support Professional Certificate.

Check out all Google Career Certificates here.","484,933","28,818"
Information Technology,Preparing for Google Cloud Certification: Cloud Developer,https://www.coursera.org/professional-certificates/google-cloud-developer,NaN,"A Cloud Developer designs, builds, analyzes, and maintains cloud-native applications. This learning path guides you through a curated collection of on-demand courses, labs, and skill badges that provide you with real-world, hands-on experience using Google Cloud technologies essential to the Cloud Developer role. Once you complete the path, check out the Google Cloud Developer certification to take the next steps on your professional journey.",NaN,57
Information Technology,Preparing for Google Cloud Certification: Cloud DevOps Engineer,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud,NaN,"This program provides the skills you need to advance your career as a data engineer and provides training to support your preparation for the industry-recognized Google Cloud Professional DevOps Engineer certification. 87% of Google Cloud certified users feel more confident in their cloud skills.

You'll also have the opportunity to practice key job skills using Google Cloud to build software delivery pipelines, deploy and monitor services, and manage and learn from incidents. You will learn to apply SRE principles to a service, techniques for monitoring, troubleshooting, and improving infrastructure and application performance among other things.

Your journey to Google Cloud certification:

1) Complete the Coursera Site Reliability Engineering and DevOps Professional Certificate

2) Review other recommended learning resources for the Google Cloud Professional Cloud DevOps Engineer certification exam

3) Review the Professional Cloud DevOps Engineer exam guide

4) Take the Professional Cloud DevOps Engineer practice exam

5) Register for the Google Cloud certification exam (Can be taken remotely or at a test center)","27,420","2,127"
Information Technology,Crash Course on Python,https://www.coursera.org/learn/python-crash-course,NaN,None,"696,842","27,790"
Information Technology,Preparing for Google Cloud Certification: Cloud Architect,https://www.coursera.org/professional-certificates/gcp-cloud-architect,NaN,"Google Cloud Professional Cloud Architect certification was ranked #2 on Global Knowledge's list of 15 top-paying certifications in 2021! Enroll now! to prepare!

This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Professional Cloud Architect certification. You'll deploy solution elements, including infrastructure components such as networks, systems and applications services, and you'll gain real world experience through hands-on Qwiklabs projects that you can share with potential employers.

You'll also have the opportunity to practice key job skills, including case analysis, identifying technical watchpoints, and developing proposed solutions. Test your basic abilities with Activity Tracking Challenge Labs. For learners looking to get certified, this program will provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulate the exam-taking experience.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program.","40,489","10,127"
Information Technology,Preparing for Google Cloud Certification: Cloud Engineer,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,NaN,"This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Associate Cloud Engineer certification. Through a combination of presentations, demos, and labs, you'll explore and deploy solution elements, including infrastructure components such as networks, systems and applications services; and you'll gain real world experience through a number of hands-on Qwiklabs projects that you can share with potential employers.

You'll also have the opportunity to practice key job skills, such as setting up a cloud environment and configuring and deploying a solution in the cloud. For learners looking to get certified, this program will also provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulates the exam-taking experience.

Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program.","33,777","8,884"
Information Technology,Architecting with Google Compute Engine,https://www.coursera.org/specializations/gcp-architecture,NaN,"87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career, and training to support your preparation for the industry-recognized Google Cloud Associate Cloud Engineer certification.

Your journey to Google Cloud certification:

1) Complete the Coursera Cloud Engineering Professional Certificate

2) Review other recommended resources for the Google Cloud Associate Cloud Engineer certification exam

3) Review the Associate Cloud Engineer exam guide

4) Complete Associate Cloud Engineer sample questions

5) Register for the Google Cloud certification exam (remotely or at a test center)

Applied Learning Project

This professional certificate incorporates hands-on labs using our Qwiklabs platform.

These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud Platform products, used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.","74,311","26,086"
Information Technology,IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,John Rofrano,"DevOps professionals are in high demand! According to a recent GitLab report, DevOps skills are expected to grow 122% over the next five years, making it one of the fastest growing skills in the workforce.

This certificate will equip you with the key concepts and technical know-how to build your skills and knowledge of DevOps practices, tools and technologies and prepare you for an entry-level role in Software Engineering.

The courses in this program will help you develop skill sets in a variety of DevOps philosophies and methodologies including Agile Development, Scrum Methodology, Cloud Native Architecture, Behavior and Test-Driven Development, and Zero Downtime Deployments.

You will learn to program with the Python language and Linux shell scripts, create projects in GitHub, containerize and orchestrate your applications using Docker, Kubernetes & OpenShift, compose applications with microservices, employ serverless technologies, perform continuous integration and delivery (CI/CD), develop testcases, ensure your code is secure, and monitor & troubleshoot your cloud deployments.

Guided by experts at IBM, you will be prepared for success. Labs and projects in this certificate program are designed to equip job-ready hands-on skills that will help you launch a new career in a highly in-demand field.

This professional certificate is suitable for both - those who have none or some programming experience, as well as those with and without college degrees.","16,036","1,108"
Information Technology,Google IT Support,https://www.coursera.org/professional-certificates/google-it-support,NaN,"Prepare for a career in the high-growth field of IT, no experience or degree required. Get professional training designed by Google and get on the fast-track to a competitively paid job. There are 400,000 U.S. job openings in IT and a $52,000 median entry-level salary in IT support.¹

Over 5 courses, learn in-demand skills that prepare you for an entry-level job. Upon completion, you can directly apply for jobs with Google and over 150 U.S. employers, including Walmart, Best Buy, and Astreya.

75% of Google Career Certificate Graduates in the United States report an improvement in their career trajectory (e.g. new job or career, promotion or raise) within 6 months of certificate completion²

This program also prepares you for the CompTIA A+ exams, the industry standard certification for IT—you’ll earn a dual credential when you complete both.

This program is ACE® approved—when you complete, you can earn up to 12 college credits, the equivalent of 4 associate degree-level courses.

If you’re interested in building on your IT foundations, check out the Google IT Automation with Python Professional Certificate.

Check out all Google Career Certificates here.

¹US Burning Glass Labor Insight Report salary data (median with 0-5 years experience) and job opening data. Data for job roles relevant to featured programs (4/01/2021 - 3/31/22).

²Based on program graduate survey responses, United States 2021","1,104,199","146,038"
Information Technology,Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,Rav Ahuja,"In this Specialization, we will cover 3 key technologies that are foundational and driving significant growth and innovation. These are Cloud Computing, Data Science, and Artificial Intelligence (AI).

Technology is essential for the future of business. Almost any organization that wants to modernize or get ahead, and anyone working there, needs to understand and leverage these essential technologies.

The courses in this Specialization provide foundational knowledge of Cloud, Data and AI, including business drivers behind their growth, the value they provide, their applications and use cases, and an understanding of how these technologies work. You will not only become familiar with the buzzwords associated with these technologies, but also experience them in action and develop hands-on skills to start working with them.

This Specialization is suitable for a variety of learners who are beginners with these technologies, including managers and executives, professionals who want to upskill, and students getting ready to start a career.

There is no special prior knowledge or hardware required. The only pre-requisites are basic computer literacy, device with a modern web browser with internet connectivity, and motivation to self-learn online.","13,224","1,166"
Information Technology,IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer,NaN,NaN,NaN,"1,307"
Information Technology,IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,John Rofrano,"DevOps professionals are in high demand! According to a recent GitLab report, DevOps skills are expected to grow 122% over the next five years, making it one of the fastest growing skills in the workforce.

This certificate will equip you with the key concepts and technical know-how to build your skills and knowledge of DevOps practices, tools and technologies and prepare you for an entry-level role in Software Engineering.

The courses in this program will help you develop skill sets in a variety of DevOps philosophies and methodologies including Agile Development, Scrum Methodology, Cloud Native Architecture, Behavior and Test-Driven Development, and Zero Downtime Deployments.

You will learn to program with the Python language and Linux shell scripts, create projects in GitHub, containerize and orchestrate your applications using Docker, Kubernetes & OpenShift, compose applications with microservices, employ serverless technologies, perform continuous integration and delivery (CI/CD), develop testcases, ensure your code is secure, and monitor & troubleshoot your cloud deployments.

Guided by experts at IBM, you will be prepared for success. Labs and projects in this certificate program are designed to equip job-ready hands-on skills that will help you launch a new career in a highly in-demand field.

This professional certificate is suitable for both - those who have none or some programming experience, as well as those with and without college degrees.","16,036","1,108"
Information Technology,Data Engineering Foundations,https://www.coursera.org/specializations/data-engineering-foundations,Rav Ahuja,"Data engineering is one of the fastest-growing tech occupations, where the demand for skilled data engineers far outweighs the supply. The goal of data engineering is to make quality data available for fact-finding and data-driven decision making. This Specialization from IBM will help anyone interested in pursuing a career in data engineering by teaching fundamental skills to get started in this field. No prior data engineering experience is required to succeed in this Specialization.

The Specialization consists of 5 self-paced online courses covering skills required for data engineering, including the data engineering ecosystem and lifecycle, Python, SQL, and Relational Databases. You will learn these data engineering prerequisites through engaging videos and hands-on practice using real tools and real-world databases. You'll develop your understanding of data engineering, gain skills that can be applied directly to a data career, and build the foundation of your data engineering career.

Upon successfully completing these courses, you will have the practical knowledge and experience to delve deeper into data engineering and work on more advanced data engineering projects.","8,706",799
Information Technology,IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,NaN,NaN,NaN,"2,805"
Information Technology,Applied Software Engineering Fundamentals,https://www.coursera.org/specializations/software-engineering-fundamentals,Rav Ahuja,"If you want to enter the exciting world of software development, this Software Engineering Foundations Specialization is for you. No prior degrees or knowledge of programming or application development are necessary. Software Developers are in great demand earning a median salary of US$110,140 per year according to the US Bureau of Labor and Statistics. The field is growing at a rate of 22% making it a great time to start a career in software engineering.. The self-paced courses in this program provide the foundations to prepare for a wide range of IT & software development related careers, including web development, mobile application development, front-end, back-end, and full stack application development, software testing & quality assurance (QA), as well as DevOps engineering. This specialization is full of engaging videos, hands-on labs, and real-world projects that explore fundamental programming principles and foundations of design, architecture, and deployment; the software development lifecycle; Git and GitHub repositories; using the Linux terminal and creating Bash shell scripts to automate a variety of tasks; and coding with the Python programming language. The program is suitable for those new to software engineering or for those who would like a review of software engineering fundamentals. It prepares you with an introduction to the culture, technology, and job-ready skills needed to become successful in software engineering.   ","1,596",101
Information Technology,IBM Data Warehouse Engineer,https://www.coursera.org/professional-certificates/data-warehouse-engineering,Rav Ahuja,"This Professional Certificate is intended to help you develop the job-ready skills and portfolio for an entry-level Business Intelligence (BI) or Data Warehousing Engineering position. Throughout the online courses in this program, you will immerse yourself in the in-demand role of a Data Warehouse Engineer and acquire the essential skills you need to work with a range of tools and databases to design, deploy, operationalize and manage Enterprise Data Warehouses (EDW).

By the end of this Professional Certificate, you will be able to perform the key tasks required in a data warehouse engineering role. You will work with Relational Database Management Systems (RDBMS) and query data using SQL statements.

You will use Linux/UNIX shell scripts to automate repetitive tasks, and build data pipelines with tools like Apache Airflow and Kafka to Extract, Transform and Load (ETL) data. You will gain experience with managing databases and data warehouses.

Finally, you will design and populate data warehouse systems and utilize Business Intelligence tools to analyze and extract insights using reports and dashboards.

This program is suitable for anyone with a passion for learning and is suitable for you whether you have a college degree or not and does not require any prior data engineering, or programming experience.","3,073",215
